geo_id,energy_greengas_gasification_dry_biomass_energy_distribution_greengas_child_share,energy_greengas_gasification_wet_biomass_energy_distribution_greengas_child_share,energy_greengas_upgrade_biogas_energy_distribution_greengas_child_share,input_energy_chp_engine_biogas_production
BEBU4402101,0,0,1,0
BEGM11002,0,0,1,0
BU00090000,0,0,1,0
BU00090001,0,0,1,0
BU00090002,0,0,1,0
BU00090003,0,0,1,0
BU00090005,0,0,1,0
BU00090009,0,0,1,0
BU00090100,0,0,1,0
BU00090101,0,0,1,0
BU00090102,0,0,1,0
BU00090104,0,0,1,0
BU00090106,0,0,1,0
BU00090109,0,0,1,0
BU00140000,0,0,1,0
BU00140001,0,0,1,0
BU00140002,0,0,1,0
BU00140003,0,0,1,0
BU00140004,0,0,1,0
BU00140005,0,0,1,0
BU00140007,0,0,1,0
BU00140008,0,0,1,0
BU00140100,0,0,1,0
BU00140101,0,0,1,0
BU00140102,0,0,1,0
BU00140103,0,0,1,0
BU00140104,0,0,1,0
BU00140105,0,0,1,0
BU00140106,0,0,1,0
BU00140107,0,0,1,0
BU00140108,0,0,1,0
BU00140109,0,0,1,0
BU00140200,0,0,1,0
BU00140201,0,0,1,0
BU00140202,0,0,1,0
BU00140203,0,0,1,0
BU00140300,0,0,1,0
BU00140301,0,0,1,0
BU00140302,0,0,1,0
BU00140400,0,0,1,0
BU00140401,0,0,1,0
BU00140402,0,0,1,0
BU00140403,0,0,1,0
BU00140404,0,0,1,0
BU00140500,0,0,1,0
BU00140501,0,0,1,0
BU00140502,0,0,1,0
BU00140503,0,0,1,0
BU00140504,0,0,1,0
BU00140505,0,0,1,0
BU00140506,0,0,1,0
BU00140507,0,0,1,0
BU00140508,0,0,1,0
BU00140509,0,0,1,0
BU00140510,0,0,1,0
BU00140511,0,0,1,0
BU00140600,0,0,1,0
BU00140601,0,0,1,0
BU00140602,0,0,1,0
BU00140603,0,0,1,0
BU00140604,0,0,1,0
BU00140605,0,0,1,0
BU00140606,0,0,1,0
BU00140700,0,0,1,0
BU00140701,0,0,1,0
BU00140702,0,0,1,0
BU00140703,0,0,1,0
BU00140704,0,0,1,0
BU00140705,0,0,1,0
BU00140800,0,0,1,0
BU00140801,0,0,1,0
BU00140802,0,0,1,0
BU00140803,0,0,1,0
BU00140804,0,0,1,0
BU00140805,0,0,1,0
BU00140806,0,0,1,0
BU00140807,0,0,1,0
BU00140808,0,0,1,0
BU00140809,0,0,1,0
BU00140810,0,0,1,0
BU00140811,0,0,1,0
BU00140812,0,0,1,0
BU00140900,0,0,1,0
BU00140901,0,0,1,0
BU00140902,0,0,1,0
BU00140903,0,0,1,0
BU00140904,0,0,1,0
BU00140905,0,0,1,0
BU00140906,0,0,1,0
BU00140907,0,0,1,0
BU00141000,0,0,1,0
BU00141001,0,0,1,0
BU00141002,0,0,1,0
BU00141003,0,0,1,0
BU00141004,0,0,1,0
BU00141005,0,0,1,0
BU00141100,0,0,1,0
BU00141101,0,0,1,0
BU00141102,0,0,1,0
BU00141103,0,0,1,0
BU00141104,0,0,1,0
BU00141105,0,0,1,0
BU00141106,0,0,1,0
BU00141107,0,0,1,0
BU00141200,0,0,1,0
BU00141201,0,0,1,0
BU00141202,0,0,1,0
BU00141203,0,0,1,0
BU00141204,0,0,1,0
BU00141205,0,0,1,0
BU00141206,0,0,1,0
BU00141207,0,0,1,0
BU00141208,0,0,1,0
BU00141209,0,0,1,0
BU00141210,0,0,1,0
BU00141211,0,0,1,0
BU00141300,0,0,1,0
BU00141301,0,0,1,0
BU00141302,0,0,1,0
BU00141400,0,0,1,0
BU00141401,0,0,1,0
BU00141402,0,0,1,0
BU00170000,0,0,1,0
BU00170001,0,0,1,0
BU00170002,0,0,1,0
BU00170003,0,0,1,0
BU00170004,0,0,1,0
BU00170005,0,0,1,0
BU00170100,0,0,1,0
BU00170101,0,0,1,0
BU00170102,0,0,1,0
BU00170103,0,0,1,0
BU00170106,0,0,1,0
BU00170107,0,0,1,0
BU00170108,0,0,1,0
BU00170109,0,0,1,0
BU00580000,0,0,1,0
BU00580001,0,0,1,0
BU00580002,0,0,1,0
BU00580003,0,0,1,0
BU00580004,0,0,1,0
BU00580005,0,0,1,0
BU00580006,0,0,1,0
BU00580007,0,0,1,0
BU00580008,0,0,1,0
BU00580009,0,0,1,0
BU00580010,0,0,1,0
BU00580011,0,0,1,0
BU00580100,0,0,1,0
